,0
90,"['Granularity:', 'quarter', 'Historical sum:', 3749559, 'Historical length:', 4, 'Historical average:', 937390.0, 'Theta_sum:', 4028232.0, 'Theta average:', 447581.0]"
91,"['Granularity:', 'quarter', 'Historical sum:', 715052, 'Historical length:', 10, 'Historical average:', 71505.0, 'Theta_sum:', 562608.0, 'Theta average:', 62512.0]"
92,"['Granularity:', 'quarter', 'Historical sum:', 15392671, 'Historical length:', 28, 'Historical average:', 549738.0, 'Theta_sum:', 5800080.0, 'Theta average:', 644453.0]"
93,"['Granularity:', 'quarter', 'Historical sum:', 96115531, 'Historical length:', 37, 'Historical average:', 2597717.0, 'Theta_sum:', 15389352.0, 'Theta average:', 1709928.0]"
94,"['Granularity:', 'quarter', 'Historical sum:', 318601, 'Historical length:', 6, 'Historical average:', 53100.0, 'Theta_sum:', 76539.0, 'Theta average:', 8504.0]"
95,"['Granularity:', 'quarter', 'Historical sum:', 2164379, 'Historical length:', 4, 'Historical average:', 541095.0, 'Theta_sum:', 21844012.0, 'Theta average:', 2427112.0]"
96,"['Granularity:', 'quarter', 'Historical sum:', 2325467, 'Historical length:', 4, 'Historical average:', 581367.0, 'Theta_sum:', 5256595.0, 'Theta average:', 584066.0]"
97,"['Granularity:', 'quarter', 'Historical sum:', 9063481, 'Historical length:', 29, 'Historical average:', 312534.0, 'Theta_sum:', 2238913.0, 'Theta average:', 248768.0]"
98,"['Granularity:', 'quarter', 'Historical sum:', 9784858, 'Historical length:', 36, 'Historical average:', 271802.0, 'Theta_sum:', 2494873.0, 'Theta average:', 277208.0]"
99,"['Granularity:', 'quarter', 'Historical sum:', 15054698, 'Historical length:', 21, 'Historical average:', 716890.0, 'Theta_sum:', 6522124.0, 'Theta average:', 724680.0]"
100,"['Granularity:', 'quarter', 'Historical sum:', 29975643, 'Historical length:', 24, 'Historical average:', 1248985.0, 'Theta_sum:', 9277632.0, 'Theta average:', 1030848.0]"
101,"['Granularity:', 'quarter', 'Historical sum:', 47604282, 'Historical length:', 4, 'Historical average:', 11901070.0, 'Theta_sum:', 114663301.0, 'Theta average:', 12740367.0]"
102,"['Granularity:', 'quarter', 'Historical sum:', 9328197, 'Historical length:', 23, 'Historical average:', 405574.0, 'Theta_sum:', 3553959.0, 'Theta average:', 394884.0]"
103,"['Granularity:', 'quarter', 'Historical sum:', 1845807, 'Historical length:', 29, 'Historical average:', 63649.0, 'Theta_sum:', 1104497.0, 'Theta average:', 122722.0]"
104,"['Granularity:', 'quarter', 'Historical sum:', 7776109, 'Historical length:', 7, 'Historical average:', 1110873.0, 'Theta_sum:', 7755041.0, 'Theta average:', 861671.0]"
105,"['Granularity:', 'quarter', 'Historical sum:', 2125711, 'Historical length:', 15, 'Historical average:', 141714.0, 'Theta_sum:', 508908.0, 'Theta average:', 56545.0]"
106,"['Granularity:', 'quarter', 'Historical sum:', 18059215, 'Historical length:', 37, 'Historical average:', 488087.0, 'Theta_sum:', 5817983.0, 'Theta average:', 646443.0]"
107,"['Granularity:', 'quarter', 'Historical sum:', 2265252, 'Historical length:', 9, 'Historical average:', 251695.0, 'Theta_sum:', 3759365.0, 'Theta average:', 417707.0]"
108,"['Granularity:', 'quarter', 'Historical sum:', 5440989, 'Historical length:', 13, 'Historical average:', 418538.0, 'Theta_sum:', 3846506.0, 'Theta average:', 427390.0]"
109,"['Granularity:', 'quarter', 'Historical sum:', 20137954, 'Historical length:', 18, 'Historical average:', 1118775.0, 'Theta_sum:', 9576867.0, 'Theta average:', 1064096.0]"
110,"['Granularity:', 'quarter', 'Historical sum:', 782540, 'Historical length:', 20, 'Historical average:', 39127.0, 'Theta_sum:', 345272.0, 'Theta average:', 38364.0]"
111,"['Granularity:', 'quarter', 'Historical sum:', 7319538, 'Historical length:', 13, 'Historical average:', 563041.0, 'Theta_sum:', 5272166.0, 'Theta average:', 585796.0]"
112,"['Granularity:', 'quarter', 'Historical sum:', 629845, 'Historical length:', 8, 'Historical average:', 78731.0, 'Theta_sum:', 1017690.0, 'Theta average:', 113077.0]"
113,"['Granularity:', 'quarter', 'Historical sum:', 1141197, 'Historical length:', 4, 'Historical average:', 285299.0, 'Theta_sum:', 3603727.0, 'Theta average:', 400414.0]"
114,"['Granularity:', 'quarter', 'Historical sum:', 5928297, 'Historical length:', 40, 'Historical average:', 148207.0, 'Theta_sum:', 1228695.0, 'Theta average:', 136522.0]"
115,"['Granularity:', 'quarter', 'Historical sum:', 5772913, 'Historical length:', 11, 'Historical average:', 524810.0, 'Theta_sum:', 4825064.0, 'Theta average:', 536118.0]"
116,"['Granularity:', 'quarter', 'Historical sum:', 4775071, 'Historical length:', 7, 'Historical average:', 682153.0, 'Theta_sum:', 8372013.0, 'Theta average:', 930224.0]"
117,"['Granularity:', 'quarter', 'Historical sum:', 4944402, 'Historical length:', 25, 'Historical average:', 197776.0, 'Theta_sum:', 1751057.0, 'Theta average:', 194562.0]"
