Reporting Date;Sale Month;Store;Artist;Title;ISRC;UPC;Quantity;Team Percentage;Song/Album;Country of Sale;Songwriter Royalties Withheld;Earnings (USD)
2020-09-23;2020-05;Saavn;FRVRFRIDAY;Maliblue;QZHN31922730;;49;100;Song;US;0;0.00246032
2020-09-10;2020-06;TikTok;FRVRFRIDAY;Maliblue;QZHN31922730;;2;100;Song;CA;0;0.00626864
2020-09-10;2020-06;TikTok;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;BR;0;0.00313432
2020-09-10;2020-06;TikTok;FRVRFRIDAY;Maliblue;QZHN31922730;;2;100;Song;IE;0;0.00626864
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;200;100;Song;DE;0;0.81462981
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;71;100;Song;CA;0;0.25853352
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;106;100;Song;HR;0;0.32167512
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;6;100;Song;BE;0;0.03853212
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;407;100;Song;FR;0;2.05279670
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;4;100;Song;GA;0;0.00000069
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;3;100;Song;PT;0;0.01060068
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;CI;0;0.00286674
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;3;100;Song;GB;0;0.03197981
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;ZW;0;0.00000015
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;149;100;Song;NL;0;0.61175857
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;3;100;Song;PK;0;0.00547321
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;5;100;Song;CO;0;0.00494819
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;11;100;Song;NA;0;0.00901096
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;5;100;Song;US;0;0.01010219
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;3;100;Song;ZA;0;0.00343342
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;3;100;Song;AE;0;0.00875834
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;MW;0;0.00000010
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;6;100;Song;NG;0;0.00374607
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;RO;0;0.00000347
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;SN;0;0.00000019
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;3;100;Song;MX;0;0.00125591
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;13;100;Song;BR;0;0.00811855
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;IT;0;0.00765681
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;HU;0;0.01845656
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;BA;0;0.00000000
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;2;100;Song;AR;0;0.00158287
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;RS;0;0.00000016
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;56;100;Song;CH;0;0.24839901
2020-09-18;2020-06;Deezer;FRVRFRIDAY;Maliblue;QZHN31922730;;5;100;Song;ZM;0;0.01364237
2020-09-23;2020-06;YouTube (Audio);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;CA;0;0.00169600
2020-09-23;2020-06;YouTube (Audio);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;CA;0;0.00169600
2020-09-23;2020-06;YouTube (Audio);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;CA;0;0.00169600
2020-09-23;2020-06;YouTube (Audio);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;FR;0;0.00202500
2020-09-23;2020-06;YouTube (Audio);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;MX;0;0.00112000
2020-09-23;2020-06;YouTube (Audio);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;US;0;0.00180000
2020-09-23;2020-06;YouTube (Audio);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;US;0;0.00180000
2020-09-23;2020-06;YouTube (Audio);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;US;0;0.00180000
2020-09-23;2020-06;YouTube (Audio);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;US;0;0.00180000
2020-09-23;2020-06;YouTube (Audio);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;US;0;0.00180000
2020-09-23;2020-06;YouTube (Audio);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;US;0;0.00180000
2020-09-25;2020-06;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;11;100;Song;BE;0;0.01823000
2020-09-25;2020-06;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;18;100;Song;BR;0;0.01460700
2020-09-25;2020-06;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;320;100;Song;CA;0;0.46229800
2020-09-25;2020-06;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;130;100;Song;DE;0;0.38222900
